City Hotel,1,100,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,80,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,92,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,65,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,83,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,106,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,92,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,100,?,Online TA,93.6,Canceled,0009-10-23
City Hotel,1,43,?,Groups,63,Canceled,0009-10-23
City Hotel,1,43,?,Groups,86,Canceled,0009-10-23
City Hotel,1,85,?,Online TA,52.36,Canceled,0009-10-23
City Hotel,1,75,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,89,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,92,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,68,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,79,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,63,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,72,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,43,?,Groups,86,Canceled,0009-10-23
City Hotel,1,43,?,Groups,63,Canceled,0009-10-23
City Hotel,1,97,?,Offline TA/TO,63.75,Canceled,0009-10-23
City Hotel,1,71,?,Online TA,55.8,Canceled,0009-10-23
City Hotel,1,88,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,92,?,Online TA,49.74,Canceled,0009-10-23
Resort Hotel,1,75,?,Offline TA/TO,105.5,Canceled,0009-10-23
Resort Hotel,1,85,?,Online TA,82,Canceled,0009-10-23
Resort Hotel,1,60,?,Online TA,107,Canceled,0009-10-23
Resort Hotel,1,45,?,Online TA,117.81,Canceled,0009-10-23
Resort Hotel,1,45,?,Online TA,108.8,Canceled,0009-10-23
Resort Hotel,1,43,?,Online TA,108.8,Canceled,0009-10-23
Resort Hotel,1,96,?,Direct,108.3,Canceled,0009-10-23
Resort Hotel,1,47,?,Online TA,153,Canceled,0009-10-23
Resort Hotel,1,101,?,Online TA,73.8,Canceled,0009-10-23
Resort Hotel,1,71,?,Offline TA/TO,110.3,Canceled,0009-10-23
Resort Hotel,1,63,?,Online TA,82,Canceled,0009-10-23
Resort Hotel,1,40,?,Online TA,108.8,Canceled,0009-10-23
Resort Hotel,1,23,?,Online TA,123,Canceled,0009-10-23
Resort Hotel,1,3,?,Online TA,136.33,Canceled,0009-10-23
Resort Hotel,1,62,?,Online TA,97,Canceled,0009-10-23
City Hotel,1,100,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,80,?,Online TA,76.5,Canceled,0009-10-23
City Hotel,1,92,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,65,?,Online TA,68,Canceled,0009-10-23
City Hotel,1,83,?,Online TA,76.5,Canceled,0009-10-23
